Sample Name/Number;Species Name;Image File Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter;Perimeter;Area;Holes;Area+Holes;Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM);ROI (left);ROI (top);ROI (right);ROI (bottom)
3_A1_1;PMR_ExStream22_Main_EPT;2_3_A1_1_2023_12_07-09-33-29-315.PNG;;;;;;;;C13_T_ohne;304;1011;13276;105;13381;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;4;0;480;476
3_A1_1;PMR_ExStream22_Main_EPT;1_3_A1_1_2023_12_07-09-33-29-350.PNG;;;;;;;;C13_T_ohne;330;826;13393;58;13451;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;4;0;480;476
3_A1_1;PMR_ExStream22_Main_EPT;2_3_A1_1_2023_12_07-09-33-29-338.PNG;;;;;;;;C13_T_ohne;303;1005;13172;96;13268;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;17;0;493;476
3_A1_1;PMR_ExStream22_Main_EPT;1_3_A1_1_2023_12_07-09-33-29-373.PNG;;;;;;;;C13_T_ohne;330;834;13397;55;13452;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;18;0;494;476
3_A1_1;PMR_ExStream22_Main_EPT;2_3_A1_1_2023_12_07-09-33-29-361.PNG;;;;;;;;C13_T_ohne;303;1021;13201;88;13289;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;29;0;505;476
3_A1_1;PMR_ExStream22_Main_EPT;1_3_A1_1_2023_12_07-09-33-29-397.PNG;;;;;;;;C13_T_ohne;330;826;13335;59;13394;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;32;0;508;476
3_A1_1;PMR_ExStream22_Main_EPT;2_3_A1_1_2023_12_07-09-33-29-385.PNG;;;;;;;;C13_T_ohne;303;1000;13199;79;13278;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;41;0;517;476
3_A1_1;PMR_ExStream22_Main_EPT;1_3_A1_1_2023_12_07-09-33-29-420.PNG;;;;;;;;C13_T_ohne;322;828;13253;45;13298;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;45;0;521;476
3_A1_1;PMR_ExStream22_Main_EPT;2_3_A1_1_2023_12_07-09-33-29-409.PNG;;;;;;;;C13_T_ohne;302;1005;13216;86;13302;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;55;0;531;476
3_A1_1;PMR_ExStream22_Main_EPT;1_3_A1_1_2023_12_07-09-33-29-443.PNG;;;;;;;;C13_T_ohne;320;824;13247;35;13282;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;58;0;534;476
3_A1_1;PMR_ExStream22_Main_EPT;2_3_A1_1_2023_12_07-09-33-29-431.PNG;;;;;;;;C13_T_ohne;301;1020;13197;92;13289;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;68;0;544;476
3_A1_1;PMR_ExStream22_Main_EPT;1_3_A1_1_2023_12_07-09-33-29-467.PNG;;;;;;;;C13_T_ohne;320;824;13247;35;13282;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;58;0;534;476
3_A1_1;PMR_ExStream22_Main_EPT;2_3_A1_1_2023_12_07-09-33-29-454.PNG;;;;;;;;C13_T_ohne;301;999;13208;95;13303;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;81;0;557;476
3_A1_1;PMR_ExStream22_Main_EPT;1_3_A1_1_2023_12_07-09-33-29-490.PNG;;;;;;;;C13_T_ohne;320;810;13171;41;13212;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07/12/2023 09:33:29;83;0;559;476
