Sample Name/Number;Species Name;Image File Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter;Perimeter;Area;Holes;Area+Holes;Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM);ROI (left);ROI (top);ROI (right);ROI (bottom)
8_C2_1;PMR_ExStream22_Main_EPT;2_8_C2_1_2024_01_08-13-22-03-504.PNG;;;;;;;;C49_T_ohne;83;264;2253;1;2254;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\8_C2\8_C2_1;MSH;08/01/2024 13:22:03;2;0;478;476
8_C2_1;PMR_ExStream22_Main_EPT;1_8_C2_1_2024_01_08-13-22-03-558.PNG;;;;;;;;C49_T_ohne;130;404;3572;2;3574;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\8_C2\8_C2_1;MSH;08/01/2024 13:22:03;6;0;482;476
8_C2_1;PMR_ExStream22_Main_EPT;2_8_C2_1_2024_01_08-13-22-03-525.PNG;;;;;;;;C49_T_ohne;82;256;2243;3;2246;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\8_C2\8_C2_1;MSH;08/01/2024 13:22:03;8;0;484;476
8_C2_1;PMR_ExStream22_Main_EPT;1_8_C2_1_2024_01_08-13-22-03-582.PNG;;;;;;;;C49_T_ohne;130;404;3572;2;3574;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\8_C2\8_C2_1;MSH;08/01/2024 13:22:03;6;0;482;476
8_C2_1;PMR_ExStream22_Main_EPT;2_8_C2_1_2024_01_08-13-22-03-547.PNG;;;;;;;;C49_T_ohne;82;270;2234;2;2236;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\8_C2\8_C2_1;MSH;08/01/2024 13:22:03;15;0;491;476
8_C2_1;PMR_ExStream22_Main_EPT;1_8_C2_1_2024_01_08-13-22-03-605.PNG;;;;;;;;C49_T_ohne;129;401;3570;0;3570;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\8_C2\8_C2_1;MSH;08/01/2024 13:22:03;20;0;496;476
8_C2_1;PMR_ExStream22_Main_EPT;2_8_C2_1_2024_01_08-13-22-03-570.PNG;;;;;;;;C49_T_ohne;84;254;2227;3;2230;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\8_C2\8_C2_1;MSH;08/01/2024 13:22:03;22;0;498;476
8_C2_1;PMR_ExStream22_Main_EPT;1_8_C2_1_2024_01_08-13-22-03-628.PNG;;;;;;;;C49_T_ohne;129;402;3575;0;3575;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\8_C2\8_C2_1;MSH;08/01/2024 13:22:03;27;0;503;476
8_C2_1;PMR_ExStream22_Main_EPT;2_8_C2_1_2024_01_08-13-22-03-593.PNG;;;;;;;;C49_T_ohne;80;244;2217;1;2218;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\8_C2\8_C2_1;MSH;08/01/2024 13:22:03;28;0;504;476
8_C2_1;PMR_ExStream22_Main_EPT;1_8_C2_1_2024_01_08-13-22-03-651.PNG;;;;;;;;C49_T_ohne;127;377;3545;1;3546;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\8_C2\8_C2_1;MSH;08/01/2024 13:22:03;34;0;510;476
8_C2_1;PMR_ExStream22_Main_EPT;2_8_C2_1_2024_01_08-13-22-03-617.PNG;;;;;;;;C49_T_ohne;78;242;2203;1;2204;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\8_C2\8_C2_1;MSH;08/01/2024 13:22:03;35;0;511;476
8_C2_1;PMR_ExStream22_Main_EPT;1_8_C2_1_2024_01_08-13-22-03-674.PNG;;;;;;;;C49_T_ohne;131;375;3543;0;3543;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\8_C2\8_C2_1;MSH;08/01/2024 13:22:03;41;0;517;476
8_C2_1;PMR_ExStream22_Main_EPT;2_8_C2_1_2024_01_08-13-22-03-639.PNG;;;;;;;;C49_T_ohne;76;232;2185;1;2186;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\8_C2\8_C2_1;MSH;08/01/2024 13:22:03;42;0;518;476
