Sample Name/Number;Species Name;Image File Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter;Perimeter;Area;Holes;Area+Holes;Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM);ROI (left);ROI (top);ROI (right);ROI (bottom)
1_B11_1;PMR_ExStream22_Main_EPT;1_1_B11_1_2023_12_05-09-35-57-439.PNG;;;;;;;;C02_T_ohne;795;2106;125249;151;125400;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_B11\1_B11_1;MSH;05/12/2023 09:35:57;209;0;1014;476
1_B11_1;PMR_ExStream22_Main_EPT;2_1_B11_1_2023_12_05-09-35-57-449.PNG;;;;;;;;C02_T_ohne;763;1855;104316;28;104344;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_B11\1_B11_1;MSH;05/12/2023 09:35:57;214;0;1016;476
1_B11_2;PMR_ExStream22_Main_EPT;1_1_B11_2_2023_12_05-09-36-27-585.PNG;;;;;;;;C02_T_ohne;802;1965;112992;56;113048;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_B11\1_B11_2;MSH;05/12/2023 09:36:27;168;0;989;476
1_B11_2;PMR_ExStream22_Main_EPT;2_1_B11_2_2023_12_05-09-36-27-595.PNG;;;;;;;;C02_T_ohne;769;2084;118116;474;118590;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_B11\1_B11_2;MSH;05/12/2023 09:36:27;183;0;991;476
1_B11_3;PMR_ExStream22_Main_EPT;2_1_B11_3_2023_12_05-09-38-40-239.PNG;;;;;;;;C02_T_ohne;695;2099;105613;784;106397;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_B11\1_B11_3;MSH;05/12/2023 09:38:40;115;0;801;476
1_B11_3;PMR_ExStream22_Main_EPT;1_1_B11_3_2023_12_05-09-38-40-229.PNG;;;;;;;;C02_T_ohne;771;2004;112620;45;112665;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_B11\1_B11_3;MSH;05/12/2023 09:38:40;91;0;800;476
1_B11_4;PMR_ExStream22_Main_EPT;1_1_B11_4_2023_12_05-09-39-09-183.PNG;;;;;;;;C02_T_ohne;787;2038;121765;1855;123620;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_B11\1_B11_4;MSH;05/12/2023 09:39:09;73;0;897;476
1_B11_4;PMR_ExStream22_Main_EPT;2_1_B11_4_2023_12_05-09-39-09-194.PNG;;;;;;;;C02_T_ohne;774;2244;108660;228;108888;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_B11\1_B11_4;MSH;05/12/2023 09:39:09;80;0;892;476
1_B11_4;PMR_ExStream22_Main_EPT;1_1_B11_4_2023_12_05-09-39-09-205.PNG;;;;;;;;C02_T_ohne;787;2038;121765;1855;123620;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_B11\1_B11_4;MSH;05/12/2023 09:39:09;73;0;897;476
1_B11_4;PMR_ExStream22_Main_EPT;2_1_B11_4_2023_12_05-09-39-09-216.PNG;;;;;;;;C02_T_ohne;778;2231;107322;57;107379;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_B11\1_B11_4;MSH;05/12/2023 09:39:09;101;0;918;476
