Sample Name/Number;Species Name;Image File Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter;Perimeter;Area;Holes;Area+Holes;Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM);ROI (left);ROI (top);ROI (right);ROI (bottom)
9_B6_1;PMR_ExStream22_Main_EPT;1_9_B6_1_2024_01_15-09-53-28-881.PNG;;;;;;;;C56_T_ohne;247;820;13562;22;13584;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:28;5;0;481;476
9_B6_1;PMR_ExStream22_Main_EPT;2_9_B6_1_2024_01_15-09-53-28-893.PNG;;;;;;;;C56_T_ohne;351;1141;17356;151;17507;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:28;27;0;503;476
9_B6_1;PMR_ExStream22_Main_EPT;1_9_B6_1_2024_01_15-09-53-28-952.PNG;;;;;;;;C56_T_ohne;149;557;7530;1;7531;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:28;117;0;593;476
9_B6_1;PMR_ExStream22_Main_EPT;2_9_B6_1_2024_01_15-09-53-28-964.PNG;;;;;;;;C56_T_ohne;364;1254;17520;263;17783;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:28;136;0;612;476
9_B6_1;PMR_ExStream22_Main_EPT;1_9_B6_1_2024_01_15-09-53-28-976.PNG;;;;;;;;C56_T_ohne;149;557;7530;1;7531;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:28;117;0;593;476
9_B6_1;PMR_ExStream22_Main_EPT;2_9_B6_1_2024_01_15-09-53-28-987.PNG;;;;;;;;C56_T_ohne;362;1140;16964;44;17008;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;151;0;627;476
9_B6_1;PMR_ExStream22_Main_EPT;1_9_B6_1_2024_01_15-09-53-29-000.PNG;;;;;;;;C56_T_ohne;142;504;6407;21;6428;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;145;0;621;476
9_B6_1;PMR_ExStream22_Main_EPT;2_9_B6_1_2024_01_15-09-53-29-011.PNG;;;;;;;;C56_T_ohne;363;1214;17440;171;17611;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;163;0;639;476
9_B6_1;PMR_ExStream22_Main_EPT;1_9_B6_1_2024_01_15-09-53-29-024.PNG;;;;;;;;C56_T_ohne;142;504;6407;21;6428;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;145;0;621;476
9_B6_1;PMR_ExStream22_Main_EPT;2_9_B6_1_2024_01_15-09-53-29-035.PNG;;;;;;;;C56_T_ohne;364;1256;17540;150;17690;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;175;0;651;476
9_B6_1;PMR_ExStream22_Main_EPT;1_9_B6_1_2024_01_15-09-53-29-047.PNG;;;;;;;;C56_T_ohne;141;542;7118;1;7119;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;171;0;647;476
9_B6_1;PMR_ExStream22_Main_EPT;2_9_B6_1_2024_01_15-09-53-29-058.PNG;;;;;;;;C56_T_ohne;363;1254;17584;156;17740;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;187;0;663;476
9_B6_1;PMR_ExStream22_Main_EPT;1_9_B6_1_2024_01_15-09-53-29-070.PNG;;;;;;;;C56_T_ohne;148;565;7570;1;7571;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;183;0;659;476
9_B6_1;PMR_ExStream22_Main_EPT;2_9_B6_1_2024_01_15-09-53-29-082.PNG;;;;;;;;C56_T_ohne;363;1268;17606;151;17757;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;200;0;676;476
9_B6_1;PMR_ExStream22_Main_EPT;1_9_B6_1_2024_01_15-09-53-29-093.PNG;;;;;;;;C56_T_ohne;166;573;7934;4;7938;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;196;0;672;476
9_B6_1;PMR_ExStream22_Main_EPT;2_9_B6_1_2024_01_15-09-53-29-105.PNG;;;;;;;;C56_T_ohne;363;1255;17589;141;17730;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;213;0;689;476
9_B6_1;PMR_ExStream22_Main_EPT;1_9_B6_1_2024_01_15-09-53-29-117.PNG;;;;;;;;C56_T_ohne;173;606;8326;10;8336;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;209;0;685;476
9_B6_1;PMR_ExStream22_Main_EPT;2_9_B6_1_2024_01_15-09-53-29-127.PNG;;;;;;;;C56_T_ohne;365;1294;17635;136;17771;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;226;0;702;476
9_B6_1;PMR_ExStream22_Main_EPT;1_9_B6_1_2024_01_15-09-53-29-140.PNG;;;;;;;;C56_T_ohne;182;616;8679;11;8690;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;222;0;698;476
9_B6_1;PMR_ExStream22_Main_EPT;2_9_B6_1_2024_01_15-09-53-29-151.PNG;;;;;;;;C56_T_ohne;369;1279;17591;138;17729;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\9_B6\9_B6_1;MSH;15/01/2024 09:53:29;239;0;715;476
