Sample Name/Number;Species Name;Image File Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter;Perimeter;Area;Holes;Area+Holes;Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM);ROI (left);ROI (top);ROI (right);ROI (bottom)
5_B7_1;PMR_ExStream22_Main_EPT;2_5_B7_1_2023_12_15-09-35-57-560.PNG;;;;;;;;C27_T_mit ;317;728;15913;0;15913;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;24;0;500;476
5_B7_1;PMR_ExStream22_Main_EPT;1_5_B7_1_2023_12_15-09-35-57-549.PNG;;;;;;;;C27_T_mit ;108;309;5817;0;5817;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;58;0;534;476
5_B7_1;PMR_ExStream22_Main_EPT;2_5_B7_1_2023_12_15-09-35-57-584.PNG;;;;;;;;C27_T_mit ;319;724;15707;0;15707;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;119;0;595;476
5_B7_1;PMR_ExStream22_Main_EPT;1_5_B7_1_2023_12_15-09-35-57-572.PNG;;;;;;;;C27_T_mit ;128;342;6763;0;6763;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;109;0;585;476
5_B7_1;PMR_ExStream22_Main_EPT;2_5_B7_1_2023_12_15-09-35-57-609.PNG;;;;;;;;C27_T_mit ;321;733;15608;1;15609;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;171;0;647;476
5_B7_1;PMR_ExStream22_Main_EPT;1_5_B7_1_2023_12_15-09-35-57-597.PNG;;;;;;;;C27_T_mit ;144;370;7597;0;7597;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;161;0;637;476
5_B7_1;PMR_ExStream22_Main_EPT;2_5_B7_1_2023_12_15-09-35-57-632.PNG;;;;;;;;C27_T_mit ;321;719;15485;0;15485;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;225;0;701;476
5_B7_1;PMR_ExStream22_Main_EPT;1_5_B7_1_2023_12_15-09-35-57-620.PNG;;;;;;;;C27_T_mit ;155;393;8145;0;8145;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;216;0;692;476
5_B7_1;PMR_ExStream22_Main_EPT;2_5_B7_1_2023_12_15-09-35-57-654.PNG;;;;;;;;C27_T_mit ;322;720;15425;0;15425;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;281;0;757;476
5_B7_1;PMR_ExStream22_Main_EPT;1_5_B7_1_2023_12_15-09-35-57-643.PNG;;;;;;;;C27_T_mit ;155;393;8145;0;8145;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;216;0;692;476
5_B7_1;PMR_ExStream22_Main_EPT;2_5_B7_1_2023_12_15-09-35-57-677.PNG;;;;;;;;C27_T_mit ;321;721;15381;0;15381;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;339;0;815;476
5_B7_1;PMR_ExStream22_Main_EPT;1_5_B7_1_2023_12_15-09-35-57-666.PNG;;;;;;;;C27_T_mit ;155;397;8038;0;8038;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;334;0;810;476
5_B7_1;PMR_ExStream22_Main_EPT;2_5_B7_1_2023_12_15-09-35-57-700.PNG;;;;;;;;C27_T_mit ;323;718;15435;1;15436;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;398;0;874;476
5_B7_1;PMR_ExStream22_Main_EPT;1_5_B7_1_2023_12_15-09-35-57-689.PNG;;;;;;;;C27_T_mit ;155;397;8038;0;8038;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15/12/2023 09:35:57;334;0;810;476
