Sample Name/Number;Species Name;Image File Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter;Perimeter;Area;Holes;Area+Holes;Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM);ROI (left);ROI (top);ROI (right);ROI (bottom)
6_F1_0;PMR_ExStream22_Main_EPT;1_6_F1_0_2023_12_20-09-17-30-547.PNG;;;;;;;;C36_T_ohne nur hinterleib;34;115;396;81;477;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F1\6_F1_0;MSH;20/12/2023 09:17:30;416;0;892;476
6_F1_0;PMR_ExStream22_Main_EPT;2_6_F1_0_2023_12_20-09-17-30-580.PNG;;;;;;;;C36_T_ohne nur hinterleib;36;144;395;1;396;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F1\6_F1_0;MSH;20/12/2023 09:17:30;302;0;778;476
6_F1_0;PMR_ExStream22_Main_EPT;2_6_F1_0_2023_12_20-09-17-30-604.PNG;;;;;;;;C36_T_ohne nur hinterleib;34;129;363;6;369;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F1\6_F1_0;MSH;20/12/2023 09:17:30;243;0;719;476
6_F1_1;PMR_ExStream22_Main_EPT;2_6_F1_1_2023_12_20-09-17-38-799.PNG;;;;;;;;C36_T_ohne nur hinterleib;84;235;1937;5;1942;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F1\6_F1_1;MSH;20/12/2023 09:17:38;6;0;482;476
6_F1_1;PMR_ExStream22_Main_EPT;1_6_F1_1_2023_12_20-09-17-38-853.PNG;;;;;;;;C36_T_ohne nur hinterleib;101;306;2290;9;2299;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F1\6_F1_1;MSH;20/12/2023 09:17:38;6;0;482;476
6_F1_1;PMR_ExStream22_Main_EPT;2_6_F1_1_2023_12_20-09-17-38-820.PNG;;;;;;;;C36_T_ohne nur hinterleib;83;218;1908;12;1920;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F1\6_F1_1;MSH;20/12/2023 09:17:38;11;0;487;476
6_F1_1;PMR_ExStream22_Main_EPT;1_6_F1_1_2023_12_20-09-17-38-876.PNG;;;;;;;;C36_T_ohne nur hinterleib;101;313;2289;2;2291;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F1\6_F1_1;MSH;20/12/2023 09:17:38;11;0;487;476
6_F1_1;PMR_ExStream22_Main_EPT;2_6_F1_1_2023_12_20-09-17-38-841.PNG;;;;;;;;C36_T_ohne nur hinterleib;83;221;1885;1;1886;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F1\6_F1_1;MSH;20/12/2023 09:17:38;16;0;492;476
6_F1_1;PMR_ExStream22_Main_EPT;1_6_F1_1_2023_12_20-09-17-38-900.PNG;;;;;;;;C36_T_ohne nur hinterleib;101;313;2289;2;2291;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F1\6_F1_1;MSH;20/12/2023 09:17:38;11;0;487;476
6_F1_1;PMR_ExStream22_Main_EPT;2_6_F1_1_2023_12_20-09-17-38-864.PNG;;;;;;;;C36_T_ohne nur hinterleib;85;211;1911;14;1925;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F1\6_F1_1;MSH;20/12/2023 09:17:38;21;0;497;476
