Sample Name/Number;Species Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter (max);Max Feret Diameter (mean);Max Feret Diameter (std. dev.);Perimeter (mean);Perimeter (std. dev.);Area (mean);Area(std. dev.);Holes (mean);Holes (std. dev.);Area+Holes (mean);Area+Holes (std. dev.);Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM)
3_D9_1;PMR_ExStream22_Main_EPT;;C16;;1525,71 mg;1526,65 mg;;Trichoptera;C16_T_mit;216;179;35;611;87;6435;1169;19;23;6454;1170;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_D9\3_D9_1;MSH;11.12.2023 11:00
3_D9_2;PMR_ExStream22_Main_EPT;;C16;;;;;Trichoptera;C16_T_mit;221;170;38;565;151;5899;1294;48;54;5947;1334;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_D9\3_D9_2;MSH;11.12.2023 11:01
3_D10_1;PMR_ExStream22_Main_EPT;;C16;;1517,53 mg;1518,53 mg;;Trichoptera;C16_T_mit;197;173;20;637;74;6214;302;80;69;6294;359;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_D10\3_D10_1;MSH;11.12.2023 11:12
3_D10_2;PMR_ExStream22_Main_EPT;;C16;;;;;Trichoptera;C16_T_ohne;157;138;13;615;123;5641;372;47;31;5688;397;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_D10\3_D10_2;MSH;11.12.2023 11:12
3_D11_1;PMR_ExStream22_Main_EPT;;C16;;1528,79 mg;1532,63 mg;;Trichoptera;C16_T_ohne;443;402;34;1119;173;29608;2798;46;33;29654;2818;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_D11\3_D11_1;MSH;11.12.2023 11:13
3_D11_2;PMR_ExStream22_Main_EPT;;C16;;;;;Trichoptera;C16_T_ohne;395;299;90;996;291;25394;5915;69;44;25463;5919;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_D11\3_D11_2;MSH;11.12.2023 11:13
3_D12_1;PMR_ExStream22_Main_EPT;;C16;;1520,02 mg;1526,67 mg;;Trichoptera;C16_T_ohne;301;288;10;775;79;10925;503;19;20;10943;507;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_D12\3_D12_1;MSH;11.12.2023 11:14
3_D12_2;PMR_ExStream22_Main_EPT;;C16;;;;;Trichoptera;C16_T_ohne;300;218;78;643;173;8583;3149;102;98;8686;3230;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_D12\3_D12_2;MSH;11.12.2023 11:14
3_E1_1;PMR_ExStream22_Main_EPT;;C16;;1515,31 mg;1516,84 mg;;Trichoptera;C16_T_ohne;313;251;55;936;48;14574;2253;44;18;14618;2248;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E1\3_E1_1;MSH;11.12.2023 11:15
3_E1_2;PMR_ExStream22_Main_EPT;;C16;;;;;Trichoptera;C16_T_ohne;342;283;53;971;62;15277;2258;41;21;15318;2267;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E1\3_E1_2;MSH;11.12.2023 11:16
3_E2_1;PMR_ExStream22_Main_EPT;;C16;;1518,58 mg;1519,40 mg;;Trichoptera;C16_T_ohne;264;231;28;726;84;9412;887;55;50;9467;913;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E2\3_E2_1;MSH;11.12.2023 11:16
3_E2_2;PMR_ExStream22_Main_EPT;;C16;;;;;Trichoptera;C16_T_ohne;259;213;44;701;72;8819;1472;140;133;8959;1399;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E2\3_E2_2;MSH;11.12.2023 11:17
3_E3_1;PMR_ExStream22_Main_EPT;;C16;;1524,92 mg;1525,58 mg;;Trichoptera;C16_T_ohne;99;78;17;233;40;1441;223;21;21;1462;242;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E3\3_E3_1;MSH;11.12.2023 12:11
3_E3_2;PMR_ExStream22_Main_EPT;;C16;;;;;Trichoptera;C16_T_ohne;104;75;27;212;87;1201;428;18;20;1219;445;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E3\3_E3_2;MSH;11.12.2023 12:12
3_E4_1;PMR_ExStream22_Main_EPT;;C16;;1524,01 mg;1532,84 mg;;Trichoptera;C16_T_mit;280;223;59;783;79;17528;4637;2;3;17530;4638;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E4\3_E4_1;MSH;11.12.2023 12:13
3_E4_2;PMR_ExStream22_Main_EPT;;C16;;;;;Trichoptera;C16_T_mit;236;222;13;718;52;19395;1201;2;2;19397;1201;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E4\3_E4_2;MSH;11.12.2023 12:14
3_E4_3;PMR_ExStream22_Main_EPT;;C16;;;;;Trichoptera;C16_T_mit;247;200;77;659;254;16582;7435;21;29;16603;7451;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E4\3_E4_3;MSH;11.12.2023 12:14
3_E4_4;PMR_ExStream22_Main_EPT;;C16;;;;;Trichoptera;C16_T_mit;266;230;37;708;34;18220;2710;18;25;18237;2698;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E4\3_E4_4;MSH;11.12.2023 12:14
3_E4_5;PMR_ExStream22_Main_EPT;;C16;;;;;Trichoptera;C16_T_mit;278;242;31;721;74;17959;1813;2;3;17961;1812;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E4\3_E4_5;MSH;11.12.2023 12:15
3_E4_6;PMR_ExStream22_Main_EPT;;C16;;;;;Trichoptera;C16_T_mit;269;225;42;702;81;19022;4731;10;9;19032;4726;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E4\3_E4_6;MSH;11.12.2023 12:15
3_E4_7;PMR_ExStream22_Main_EPT;;C16;;;;;Trichoptera;C16_T_mit;273;236;40;773;60;17951;2939;3;2;17954;2939;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E4\3_E4_7;MSH;11.12.2023 12:15
3_E5_1;PMR_ExStream22_Main_EPT;;C16;;1521,33 mg;1522,10 mg;;Ephemeroptera;C16_E;271;214;31;781;151;8560;1200;19;27;8580;1205;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E5\3_E5_1;MSH;11.12.2023 13:37
3_E5_2;PMR_ExStream22_Main_EPT;;C16;;;;;Ephemeroptera;C16_E;176;142;35;337;57;3839;675;0;1;3840;675;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E5\3_E5_2;MSH;11.12.2023 13:39
3_E6_1;PMR_ExStream22_Main_EPT;;C16;;1522,04 mg;1522,65 mg;;Ephemeroptera;C16_E;184;156;30;456;68;4872;788;56;47;4927;817;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E6\3_E6_1;MSH;11.12.2023 13:41
3_E6_2;PMR_ExStream22_Main_EPT;;C16;;;;;Ephemeroptera;C16_E;184;135;43;411;104;4025;601;18;21;4043;604;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E6\3_E6_2;MSH;11.12.2023 13:41
3_E7_1;PMR_ExStream22_Main_EPT;;C16;;1523,07 mg;1523,69 mg;;Ephemeroptera;C16_E;177;145;12;428;44;3340;374;3;5;3343;377;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E7\3_E7_1;MSH;11.12.2023 13:42
3_E7_2;PMR_ExStream22_Main_EPT;;C16;;;;;Ephemeroptera;C16_E;210;155;43;464;98;3654;772;16;20;3670;782;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E7\3_E7_2;MSH;11.12.2023 13:42
3_E8_1;PMR_ExStream22_Main_EPT;;C17;;1514,62 mg;1516,80 mg;;Trichoptera;C17_T_ohne;466;403;61;1596;292;29997;4349;325;224;30322;4502;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E8\3_E8_1;MSH;11.12.2023 13:47
3_E8_2;PMR_ExStream22_Main_EPT;;C17;;;;;Trichoptera;C17_T_ohne;452;391;5;1639;119;29373;1227;68;66;29441;1293;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E8\3_E8_2;MSH;11.12.2023 13:47
3_E8_3;PMR_ExStream22_Main_EPT;;C17;;;;;Trichoptera;C17_T_ohne;497;421;44;1698;193;30729;2141;500;186;31228;2045;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_E8\3_E8_3;MSH;11.12.2023 13:48
