Sample Name/Number;Species Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter (max);Max Feret Diameter (mean);Max Feret Diameter (std. dev.);Perimeter (mean);Perimeter (std. dev.);Area (mean);Area(std. dev.);Holes (mean);Holes (std. dev.);Area+Holes (mean);Area+Holes (std. dev.);Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM)
5_F10_1;PMR_ExStream22_Main_EPT;;C30;;1523,85 mg;;;Trichoptera;C30_T_ mit halber Köcher;280;248;35;631;107;15333;2883;10;6;15342;2884;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_F10\5_F10_1;MSH;18.12.2023 11:12
5_F10_2;PMR_ExStream22_Main_EPT;;C30;;;;;Trichoptera;C30_T_ mit halber Köcher;269;214;55;646;85;13542;2221;7;9;13549;2226;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_F10\5_F10_2;MSH;18.12.2023 11:13
5_F10_3;PMR_ExStream22_Main_EPT;;C30;;;;;Trichoptera;C30_T_ mit halber Köcher;251;220;26;631;33;13917;596;4;5;13921;597;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_F10\5_F10_3;MSH;18.12.2023 11:13
5_F10_4;PMR_ExStream22_Main_EPT;;C30;;;;;Trichoptera;C30_T_ mit halber Köcher;255;219;42;620;93;15005;3182;12;16;15018;3198;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_F10\5_F10_4;MSH;18.12.2023 11:14
5_F10_5;PMR_ExStream22_Main_EPT;;C30;;;;;Trichoptera;C30_T_ mit halber Köcher;286;270;22;657;28;15437;1945;2;1;15439;1945;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_F10\5_F10_5;MSH;18.12.2023 11:14
5_F10_6;PMR_ExStream22_Main_EPT;;C30;;;;;Trichoptera;C30_T_ mit halber Köcher;228;198;26;594;116;12746;3040;9;15;12755;3054;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_F10\5_F10_6;MSH;18.12.2023 11:14
5_F10_7;PMR_ExStream22_Main_EPT;;C30;;;;;Trichoptera;C30_T_ mit halber Köcher;279;250;35;647;88;14827;1596;22;13;14848;1597;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_F10\5_F10_7;MSH;18.12.2023 11:15
5_F10_8;PMR_ExStream22_Main_EPT;;C30;;;;;Trichoptera;C30_T_ mit halber Köcher;248;227;17;642;81;14116;1953;5;2;14121;1953;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_F10\5_F10_8;MSH;18.12.2023 11:15
5_F10_9;PMR_ExStream22_Main_EPT;;C30;;;;;Trichoptera;C30_T_ mit halber Köcher;225;205;34;567;87;14537;1956;17;18;14554;1965;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_F10\5_F10_9;MSH;18.12.2023 11:15
5_F11_1;PMR_ExStream22_Main_EPT;;C30;;1536,66 mg;;;Trichoptera;C30_T_ mit halber Köcher;281;251;16;801;107;22497;4296;12;4;22510;4294;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_F11\5_F11_1;MSH;18.12.2023 11:16
