Sample Name/Number;Species Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter (max);Max Feret Diameter (mean);Max Feret Diameter (std. dev.);Perimeter (mean);Perimeter (std. dev.);Area (mean);Area(std. dev.);Holes (mean);Holes (std. dev.);Area+Holes (mean);Area+Holes (std. dev.);Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM)
7_E10_1;PMR_ExStream22_Main_EPT;;C44;;1524,76 mg;;;Trichoptera;C44_T_mit;1032;1032;2147483647;2747;2147483647;125285;2147483647;423;2147483647;125708;2147483647;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\7_E10\7_E10_1;MSH;22.12.2023 09:07
7_E10_2;PMR_ExStream22_Main_EPT;;C44;;;;;Trichoptera;C44_T_mit;1071;1030;58;2655;182;118243;1529;78;108;118320;1421;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\7_E10\7_E10_2;MSH;22.12.2023 09:08
7_E10_3;PMR_ExStream22_Main_EPT;;C44;;;;;Trichoptera;C44_T_mit;952;945;10;2389;154;108018;228;136;10;108154;218;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\7_E10\7_E10_3;MSH;22.12.2023 09:09
7_E10_4;PMR_ExStream22_Main_EPT;;C44;;;;;Trichoptera;C44_T_mit;1037;1037;2147483647;2522;2147483647;119545;2147483647;253;2147483647;119798;2147483647;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\7_E10\7_E10_4;MSH;22.12.2023 09:09
7_E10_5;PMR_ExStream22_Main_EPT;;C44;;;;;Trichoptera;C44_T_mit;1036;1036;2147483647;2608;2147483647;120344;2147483647;214;2147483647;120558;2147483647;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\7_E10\7_E10_5;MSH;22.12.2023 09:10
7_E10_6;PMR_ExStream22_Main_EPT;;C44;;;;;Trichoptera;C44_T_mit;1013;1013;2147483647;2699;2147483647;113421;2147483647;27;2147483647;113448;2147483647;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\7_E10\7_E10_6;MSH;22.12.2023 09:10
7_E10_7;PMR_ExStream22_Main_EPT;;C44;;;;;Trichoptera;C44_T_mit;983;983;2147483647;2427;2147483647;121297;2147483647;249;2147483647;121546;2147483647;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\7_E10\7_E10_7;MSH;22.12.2023 09:13
7_E10_8;PMR_ExStream22_Main_EPT;;C44;;;;;Trichoptera;C44_T_mit;1027;1024;5;2438;2;116320;8601;18;10;116338;8592;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\7_E10\7_E10_8;MSH;22.12.2023 09:15
7_E10_9;PMR_ExStream22_Main_EPT;;C44;;;;;Trichoptera;C44_T_mit;1051;1043;13;2409;12;117720;3858;12;17;117732;3842;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\7_E10\7_E10_9;MSH;22.12.2023 09:15
7_E10_10;PMR_ExStream22_Main_EPT;;C44;;;;;Trichoptera;C44_T_mit;1031;1031;2147483647;2422;2147483647;113817;2147483647;52;2147483647;113869;2147483647;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\7_E10\7_E10_10;MSH;22.12.2023 09:15
7_E11_1;PMR_ExStream22_Main_EPT;;C44;;1527,30 mg;;;Trichoptera;C44_T_mit;42;39;2;118;6;619;26;72;19;691;28;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\7_E11\7_E11_1;MSH;22.12.2023 09:17
7_E11_2;PMR_ExStream22_Main_EPT;;C44;;;;;Trichoptera;C44_T_ohne;794;748;42;2196;58;111026;3388;760;791;111786;4168;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\7_E11\7_E11_2;MSH;22.12.2023 09:23
