Sample Name/Number;Species Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter (max);Max Feret Diameter (mean);Max Feret Diameter (std. dev.);Perimeter (mean);Perimeter (std. dev.);Area (mean);Area(std. dev.);Holes (mean);Holes (std. dev.);Area+Holes (mean);Area+Holes (std. dev.);Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM)
2_A1_1;PMR_ExStream22_Main_EPT;;C05;;1520,67 mg;1537,71 mg;;Trichoptera;C05_T_ohne;782;770;11;2111;160;117403;3019;576;746;117979;3631;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\2_A1\2_A1_1;MSH;06.12.2023 11:41
2_A1_2;PMR_ExStream22_Main_EPT;;C05;;;;;Trichoptera;C05_T_ohne;846;817;41;2076;122;123966;6865;68;25;124034;6841;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\2_A1\2_A1_2;MSH;06.12.2023 11:42
2_A1_3;PMR_ExStream22_Main_EPT;;C05;;;;;Trichoptera;C05_T_ohne;815;793;15;2108;27;121138;1386;10;6;121148;1388;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\2_A1\2_A1_3;MSH;06.12.2023 11:42
2_A1_4;PMR_ExStream22_Main_EPT;;C05;;;;;Trichoptera;C05_T_ohne;851;796;45;2112;268;120389;8332;693;397;121082;7954;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\2_A1\2_A1_4;MSH;06.12.2023 11:42
2_A1_5;PMR_ExStream22_Main_EPT;;C05;;;;;Trichoptera;C05_T_ohne;786;782;5;2010;145;120599;3015;456;527;121056;3542;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\2_A1\2_A1_5;MSH;06.12.2023 11:43
2_A1_6;PMR_ExStream22_Main_EPT;;C05;;;;;Trichoptera;C05_T_ohne;769;749;17;2067;160;115071;5008;737;491;115808;4519;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\2_A1\2_A1_6;MSH;06.12.2023 11:43
2_A2_1;PMR_ExStream22_Main_EPT;;C05;;1531,85 mg;1553,32 mg;;Trichoptera;C05_T_ohne;824;799;27;2519;131;137077;3853;27;14;137104;3852;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\2_A2\2_A2_1;MSH;06.12.2023 11:46
2_A2_2;PMR_ExStream22_Main_EPT;;C05;;;;;Trichoptera;C05_T_ohne;823;814;16;2746;283;139414;6823;326;238;139740;7060;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\2_A2\2_A2_2;MSH;06.12.2023 11:47
2_A2_3;PMR_ExStream22_Main_EPT;;C05;;;;;Trichoptera;C05_T_ohne;796;792;5;2600;292;135880;4217;371;327;136251;4503;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\2_A2\2_A2_3;MSH;06.12.2023 11:47
2_A2_4;PMR_ExStream22_Main_EPT;;C05;;;;;Trichoptera;C05_T_ohne;811;784;15;2505;62;135168;1731;147;47;135315;1762;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\2_A2\2_A2_4;MSH;06.12.2023 11:48
2_A2_5;PMR_ExStream22_Main_EPT;;C05;;;;;Trichoptera;C05_T_ohne;817;797;13;2530;155;136296;4313;176;219;136472;4409;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\2_A2\2_A2_5;MSH;06.12.2023 11:48
2_A2_6;PMR_ExStream22_Main_EPT;;C05;;;;;Trichoptera;C05_T_ohne;806;795;8;2599;268;134089;2619;192;175;134282;2785;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\2_A2\2_A2_6;MSH;06.12.2023 11:48
