Sample Name/Number;Species Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter (max);Max Feret Diameter (mean);Max Feret Diameter (std. dev.);Perimeter (mean);Perimeter (std. dev.);Area (mean);Area(std. dev.);Holes (mean);Holes (std. dev.);Area+Holes (mean);Area+Holes (std. dev.);Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM)
5_B7_1;PMR_ExStream22_Main_EPT;;C27;;1526,28 mg;;;Trichoptera;C27_T_mit ;323;227;94;536;188;11198;4408;0;0;11198;4408;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_1;MSH;15.12.2023 09:35
5_B7_2;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;325;254;82;598;164;12802;3868;1;1;12803;3869;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_2;MSH;15.12.2023 09:36
5_B7_3;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;324;55;86;135;196;1915;4555;0;1;1915;4555;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_3;MSH;15.12.2023 09:37
5_B7_4;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;333;279;67;644;131;13889;3141;0;0;13889;3141;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B7\5_B7_4;MSH;15.12.2023 09:38
5_B8_1;PMR_ExStream22_Main_EPT;;C27;;1525,16 mg;;;Trichoptera;C27_T_mit ;251;196;46;464;92;7091;1514;2;5;7092;1515;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B8\5_B8_1;MSH;15.12.2023 09:39
5_B8_2;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;252;180;76;433;157;6458;2899;0;1;6458;2899;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B8\5_B8_2;MSH;15.12.2023 09:39
5_B9_1;PMR_ExStream22_Main_EPT;;C27;;1532,96 mg;;;Trichoptera;C27_T_mit ;510;427;117;1140;189;55086;4169;12;8;55098;4161;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B9\5_B9_1;MSH;15.12.2023 09:40
5_B9_2;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;429;423;6;1138;72;48460;2465;15;3;48475;2463;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B9\5_B9_2;MSH;15.12.2023 09:40
5_B9_3;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;483;394;77;1062;109;54152;7742;17;3;54169;7745;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B9\5_B9_3;MSH;15.12.2023 09:40
5_B9_4;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;464;424;57;1177;130;60752;9189;29;14;60780;9203;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B9\5_B9_4;MSH;15.12.2023 09:41
5_B9_5;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;522;519;3;1330;67;66568;9419;38;5;66606;9415;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B9\5_B9_5;MSH;15.12.2023 09:41
5_B9_6;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;518;453;69;1170;149;56553;10158;7;4;56560;10161;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B9\5_B9_6;MSH;15.12.2023 09:41
5_B9_7;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;471;429;31;1423;429;63676;17220;2464;3075;66140;19828;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B9\5_B9_7;MSH;15.12.2023 09:42
5_B9_8;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;487;476;16;1228;47;60625;9474;30;7;60655;9481;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B9\5_B9_8;MSH;15.12.2023 09:42
5_B9_9;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;509;505;5;1293;42;67095;4974;36;25;67131;4948;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B9\5_B9_9;MSH;15.12.2023 09:42
5_B9_10;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;502;109;158;306;412;10545;21213;55;36;10600;21190;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B9\5_B9_10;MSH;15.12.2023 09:42
5_B11_1;PMR_ExStream22_Main_EPT;;C27;;1525,90 mg;;;Trichoptera;C27_T_mit ;839;789;70;2328;33;143427;9238;17;8;143444;9246;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B11\5_B11_1;MSH;15.12.2023 09:46
5_B11_2;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;830;806;34;2250;89;144570;10031;242;290;144812;9741;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B11\5_B11_2;MSH;15.12.2023 09:46
5_B11_3;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;38;31;6;87;8;273;43;2;0;275;43;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B11\5_B11_3;MSH;15.12.2023 09:46
5_B11_4;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;802;787;21;2237;112;142424;4188;472;654;142896;4842;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B11\5_B11_4;MSH;15.12.2023 09:46
5_B11_5;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;790;770;28;2189;277;140295;4888;666;766;140960;4122;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B11\5_B11_5;MSH;15.12.2023 09:48
5_B11_6;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;731;731;2147483647;2328;2147483647;134420;2147483647;49;2147483647;134469;2147483647;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B11\5_B11_6;MSH;15.12.2023 09:48
5_B11_7;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;827;781;53;2227;74;141774;8821;395;388;142168;9175;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B11\5_B11_7;MSH;15.12.2023 09:49
5_B11_8;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;775;775;2147483647;2334;2147483647;136033;2147483647;322;2147483647;136355;2147483647;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B11\5_B11_8;MSH;15.12.2023 09:49
5_B11_9;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;785;772;18;2277;301;135470;3432;377;506;135846;3938;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B11\5_B11_9;MSH;15.12.2023 09:49
5_B11_10;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit ;795;777;25;2311;340;137497;5309;284;329;137780;5638;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B11\5_B11_10;MSH;15.12.2023 09:50
5_B12_1;PMR_ExStream22_Main_EPT;;C27;;1520,48 mg;;;Trichoptera;C27_T_mit maybe empty;406;388;17;854;38;20961;1230;0;1;20961;1230;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B12\5_B12_1;MSH;15.12.2023 09:51
5_B12_2;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;411;386;33;846;64;20749;1506;0;0;20749;1506;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B12\5_B12_2;MSH;15.12.2023 09:51
5_B12_3;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;412;398;12;870;28;21577;615;1;1;21578;614;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B12\5_B12_3;MSH;15.12.2023 09:51
5_B12_4;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;419;373;66;818;132;19844;3575;1;1;19845;3575;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B12\5_B12_4;MSH;15.12.2023 09:52
5_B12_5;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;419;413;5;895;16;21730;1020;1;1;21730;1019;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B12\5_B12_5;MSH;15.12.2023 09:52
5_B12_6;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;403;377;18;828;42;20264;1012;0;0;20264;1011;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B12\5_B12_6;MSH;15.12.2023 09:52
5_B12_7;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;419;331;75;739;157;17642;4486;0;1;17643;4487;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_B12\5_B12_7;MSH;15.12.2023 09:53
5_C1_1;PMR_ExStream22_Main_EPT;;C27;;1525,42 mg;;;Trichoptera;C27_T_mit maybe empty;392;352;34;863;86;19632;2071;1;1;19633;2071;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C1\5_C1_1;MSH;15.12.2023 09:54
5_C1_2;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;482;357;141;802;279;19312;7251;0;0;19312;7251;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C1\5_C1_2;MSH;15.12.2023 09:54
5_C1_3;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;33;33;2147483647;91;2147483647;462;2147483647;0;2147483647;462;2147483647;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C1\5_C1_3;MSH;15.12.2023 09:54
5_C1_4;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;499;487;12;1059;31;23811;2075;0;1;23811;2075;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C1\5_C1_4;MSH;15.12.2023 09:54
5_C1_5;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;491;464;39;1013;81;23168;1715;0;1;23168;1716;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C1\5_C1_5;MSH;15.12.2023 09:55
5_C1_6;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;505;490;13;1072;54;24465;1313;3;3;24468;1314;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C1\5_C1_6;MSH;15.12.2023 09:56
5_C1_7;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;481;412;90;923;194;21927;4116;2;2;21929;4117;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C1\5_C1_7;MSH;15.12.2023 09:56
5_C1_8;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;445;445;2147483647;1000;2147483647;23847;2147483647;1;2147483647;23848;2147483647;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C1\5_C1_8;MSH;15.12.2023 09:57
5_C1_9;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;486;423;69;942;161;22801;3398;0;0;22801;3398;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C1\5_C1_9;MSH;15.12.2023 09:57
5_C2_1;PMR_ExStream22_Main_EPT;;C27;;1525,84 mg;;;Trichoptera;C27_T_mit maybe empty;387;285;109;636;219;13852;4984;0;0;13852;4984;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C2\5_C2_1;MSH;15.12.2023 09:58
5_C2_2;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;391;383;7;831;17;18517;300;1;1;18518;299;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C2\5_C2_2;MSH;15.12.2023 09:58
5_C2_3;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;401;365;39;793;78;17570;1861;0;1;17570;1861;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C2\5_C2_3;MSH;15.12.2023 09:59
5_C2_4;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;390;384;3;834;19;18283;604;0;1;18283;604;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C2\5_C2_4;MSH;15.12.2023 09:59
5_C2_5;PMR_ExStream22_Main_EPT;;C27;;;;;Trichoptera;C27_T_mit maybe empty;390;293;90;659;183;14267;4238;3;8;14270;4237;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C2\5_C2_5;MSH;15.12.2023 10:00
5_C3_1;PMR_ExStream22_Main_EPT;;C28;;1536,63 mg;;;Trichoptera;C28_T_ohne;637;611;24;2186;243;52662;2611;399;188;53061;2519;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C3\5_C3_1;MSH;15.12.2023 10:07
5_C3_2;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_ohne;672;633;37;2255;273;53139;1759;942;542;54081;2104;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C3\5_C3_2;MSH;15.12.2023 10:07
5_C4_1;PMR_ExStream22_Main_EPT;;C28;;1534,30 mg;;;Trichoptera;C28_T_ohne;276;262;10;991;50;15154;431;192;85;15346;482;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C4\5_C4_1;MSH;15.12.2023 10:08
5_C4_2;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_ohne;275;260;8;1038;67;14697;1121;251;217;14947;1328;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C4\5_C4_2;MSH;15.12.2023 10:08
5_C5_1;PMR_ExStream22_Main_EPT;;C28;;1520,42 mg;;;Trichoptera;C28_T_ohne;357;337;20;855;47;20939;893;46;46;20985;863;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C5\5_C5_1;MSH;15.12.2023 10:09
5_C5_2;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_ohne;361;271;84;749;224;16218;4841;58;36;16276;4840;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C5\5_C5_2;MSH;15.12.2023 10:09
5_C6_1;PMR_ExStream22_Main_EPT;;C28;;1524,57 mg;;;Trichoptera;C28_T_ohne;391;256;118;727;251;14040;6110;10;15;14050;6109;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C6\5_C6_1;MSH;15.12.2023 10:10
5_C6_2;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_ohne;399;294;85;837;268;16501;4020;48;50;16549;4057;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C6\5_C6_2;MSH;15.12.2023 10:10
5_C7_1;PMR_ExStream22_Main_EPT;;C28;;1537,46 mg;;;Trichoptera;C28_T_ohne;430;302;120;959;190;16151;6545;117;115;16268;6623;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C7\5_C7_1;MSH;15.12.2023 10:11
5_C7_2;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_ohne;465;442;20;1298;103;23422;1804;223;55;23646;1846;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C7\5_C7_2;MSH;15.12.2023 10:11
5_C8_1;PMR_ExStream22_Main_EPT;;C28;;1529,43 mg;;;Trichoptera;C28_T_ohne;161;136;14;493;11;5471;234;13;13;5484;227;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C8\5_C8_1;MSH;15.12.2023 10:12
5_C8_2;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_ohne;164;136;14;522;33;5275;295;16;22;5292;289;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C8\5_C8_2;MSH;15.12.2023 10:13
5_C9_1;PMR_ExStream22_Main_EPT;;C28;;1528,44 mg;;;Trichoptera;C28_T_ohne;242;184;48;590;56;7396;1439;20;35;7416;1442;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C9\5_C9_1;MSH;15.12.2023 10:13
5_C9_2;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_ohne;244;208;18;580;36;7974;621;24;19;7998;635;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C9\5_C9_2;MSH;15.12.2023 10:14
5_C10_1;PMR_ExStream22_Main_EPT;;C28;;1530,16 mg;;;Trichoptera;C28_T_ohne;196;161;35;535;106;5129;876;36;27;5165;893;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C10\5_C10_1;MSH;15.12.2023 10:14
5_C10_2;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_ohne;192;161;26;537;58;5243;486;73;97;5316;446;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C10\5_C10_2;MSH;15.12.2023 10:15
5_C11_1;PMR_ExStream22_Main_EPT;;C28;;1534,09 mg;;;Trichoptera;C28_T_ohne;157;117;32;364;45;3381;937;1;2;3382;937;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C11\5_C11_1;MSH;15.12.2023 10:16
5_C11_2;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_ohne;156;125;29;398;40;3294;581;6;26;3299;585;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C11\5_C11_2;MSH;15.12.2023 10:16
5_C12_1;PMR_ExStream22_Main_EPT;;C28;;1520,96 mg;;;Trichoptera;C28_T_ohne;174;142;15;315;32;2768;299;2;3;2770;298;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C12\5_C12_1;MSH;15.12.2023 10:18
5_C12_2;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_ohne;168;140;14;323;32;2728;149;2;5;2730;148;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_C12\5_C12_2;MSH;15.12.2023 10:18
5_D1_1;PMR_ExStream22_Main_EPT;;C28;;1531,01 mg;;;Trichoptera;C28_T_ohne;181;171;7;431;18;4314;290;1;2;4316;290;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_D1\5_D1_1;MSH;15.12.2023 10:19
5_D1_2;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_ohne;173;163;6;400;35;4388;92;0;1;4388;92;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_D1\5_D1_2;MSH;15.12.2023 10:19
5_D2_1;PMR_ExStream22_Main_EPT;;C28;;1521,56 mg;;;Trichoptera;C28_T_ohne nur vorderkörper;572;550;21;2098;148;95184;3412;1526;1239;96710;3494;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_D2\5_D2_1;MSH;15.12.2023 10:20
5_D2_2;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_ohne nur vorderkörper;607;583;17;2167;135;101644;4572;465;896;102109;4806;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_D2\5_D2_2;MSH;15.12.2023 10:21
5_D3_1;PMR_ExStream22_Main_EPT;;C28;;1508,64 mg;;;Trichoptera;C28_T_mit zerteilt;341;255;82;683;199;19513;5835;2;2;19515;5834;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_D3\5_D3_1;MSH;15.12.2023 10:22
5_D3_2;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_mit zerteilt;376;298;99;792;245;25654;8490;5;3;25659;8490;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_D3\5_D3_2;MSH;15.12.2023 10:22
5_D3_3;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_mit zerteilt;309;265;38;810;107;24741;4244;4;3;24744;4246;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_D3\5_D3_3;MSH;15.12.2023 10:22
5_D3_4;PMR_ExStream22_Main_EPT;;C28;;;;;Trichoptera;C28_T_mit zerteilt;252;231;28;636;57;20591;3149;3;3;20594;3151;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\5_D3\5_D3_4;MSH;15.12.2023 10:23
