Sample Name/Number;Species Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter (max);Max Feret Diameter (mean);Max Feret Diameter (std. dev.);Perimeter (mean);Perimeter (std. dev.);Area (mean);Area(std. dev.);Holes (mean);Holes (std. dev.);Area+Holes (mean);Area+Holes (std. dev.);Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM)
3_A1_1;PMR_ExStream22_Main_EPT;;C13;;1514,49;1515,33;;Trichoptera;C13_T_ohne;340;293;47;925;177;12819;2627;102;56;12921;2660;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_1;MSH;07.12.2023 09:33
3_A1_2;PMR_ExStream22_Main_EPT;;C13;;;;;Trichoptera;C13_T_ohne;345;323;27;936;43;13881;977;94;61;13975;998;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A1\3_A1_2;MSH;07.12.2023 09:34
3_A2_1;PMR_ExStream22_Main_EPT;;C13;;1524,65;1525,48;;Trichoptera;C13_T_ohne;390;305;80;914;170;13993;3295;88;103;14081;3366;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A2\3_A2_1;MSH;07.12.2023 09:35
3_A2_2;PMR_ExStream22_Main_EPT;;C13;;;;;Trichoptera;C13_T_ohne;403;370;32;1089;154;16379;733;75;29;16453;741;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A2\3_A2_2;MSH;07.12.2023 09:35
3_A3_1;PMR_ExStream22_Main_EPT;;C13;;1531,16;1531,82;;Trichoptera;C13_T_ohne;234;165;52;433;105;3577;854;1;1;3577;854;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A3\3_A3_1;MSH;07.12.2023 09:36
3_A3_2;PMR_ExStream22_Main_EPT;;C13;;;;;Trichoptera;C13_T_ohne;250;169;72;494;178;3455;1321;8;11;3462;1317;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A3\3_A3_2;MSH;07.12.2023 09:36
3_A4_1;PMR_ExStream22_Main_EPT;;C13;;1517,72;1537,77;;Trichoptera;C13_T_ohne;864;845;16;2392;59;138390;7830;154;205;138544;7743;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A4\3_A4_1;MSH;07.12.2023 09:37
3_A4_2;PMR_ExStream22_Main_EPT;;C13;;;;;Trichoptera;C13_T_ohne;812;812;2147483647;2085;2147483647;139284;2147483647;7;2147483647;139291;2147483647;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A4\3_A4_2;MSH;07.12.2023 09:39
3_A4_3;PMR_ExStream22_Main_EPT;;C13;;;;;Trichoptera;C13_T_ohne;857;832;23;2188;112;138609;2443;152;246;138761;2201;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A4\3_A4_3;MSH;07.12.2023 09:39
3_A4_4;PMR_ExStream22_Main_EPT;;C13;;;;;Trichoptera;C13_T_ohne;865;851;20;2263;24;143108;8987;313;20;143421;8968;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\3_A4\3_A4_4;MSH;07.12.2023 09:49
